"Variables","VIF"
"Habitat",1.13290422988372
"Mangrove_Dist",1.46556112630023
"Depth",1.91669644158144
"Slope",1.88427569221913
"Curvature",2251799813685248
"Plan_Curv",643371375338642
"Profile_Curv",1125899906842624
"ACR_Rugosity",1.97186223390341
"Terrain_Ruggedness",2.32560293397455
"BPI_Broad",1.28928117811583
"BPI_Fine",1.20372845463625
"Sum_Temp",1.74240299174776
"Sum_Sal",3.09419324893796
"Sum_DO",2.17216381679178
"Win_Temp",2.07053912785761
"Win_Sal",3.05006619709377
"Win_DO",1.70606526206792
