OLD_MVS_CODE,SPECIES_CODE
ABU_SAX,ABU_SAXA
ABU_TAU,ABU_TAUR
ACA_BAH,ACA_BAHI
ACA_CHI,ACA_CHIR
ACA_COE,ACA_COER
ACA_POL,ACA_POLY
ACA_QUA,ACA_QUAD
AET_NAR,AET_NARI
ALB_VUL,ALB_VULP
ANI_SUR,ANI_SURI
ANI_VIR,ANI_VIRG
ARC_PRO,ARC_PROB
ARC_RHO,ARC_RHOM
ARI_FEL,ARI_FELI
BAG_MAR,BAG_MARI
CAL_ARC,CAL_ARCT
CAL_CAL,CAL_CALA
CAR_BAR,CAR_BART
CAR_CRY,CAR_CRYS
CAR_HIP,CAR_HIPP
CAR_LAT,CAR_LATU
CAR_LEU,CAR_LEUC
CAR_LIM,CAR_LIMB
CAR_RUB,CAR_RUBE
CEN_UND,CEN_UNDE
CHA_CAP,CHA_CAPI
CHA_FAB,CHA_FABE
CHA_STR,CHA_STRI
CHI_SCH,CHI_SCHO
CHL_CHR,CHL_CHRY
CIC_URO,CIC_UROP
CRY_ROS,CRY_ROSE
CYP_VAR,CYP_VARI
DAS_AME,DAS_AMER
DIA_PLU,DIA_PLUM
DIO_HYS,DIO_HYST
DIP_HOL,DIP_HOLB
DIP_PAU,DIP_PAUC
ECH_NAU,ECH_NAUC
EQU_PUN,EQU_PUNC
EPI_ITA,EPI_ITAJ
FLO_CAR,FLO_CARP
FUN_CON,FUN_CONF
FUN_GRA,FUN_GRAN
FUN_SP,FUN_SPE.
GAMBUSIA,GAM_SPE.
GER_CIN,GER_CINE
GERRID,GER_SPE.
GIN_CIR,GIN_CIRR
GOB_SP,GOB_SPE.
GYM_FUN,GYM_FUNE
HAE_AUR,HAE_AURO
HAE_CAR,HAE_CARB
HAE_CHR,HAE_CHRY
HAE_FLA,HAE_FLAV
HAE_MAC,HAE_MACR
HAE_MEL,HAE_MELA
HAE_PAR,HAE_PARR
HAE_PLU,HAE_PLUM
HAE_SCI,HAE_SCIU
HAE_SP,HAE_SPE.
HAL_MAC,HAL_MACU
HEM_AMB,HEM_AMBL
HIP_ERE,HIP_EREC
KYP_SEC,KYP_SECT
LAC_BIC,LAC_BICA
LAC_MAX,LAC_MAXI
LAC_QUA,LAC_QUAD
LAC_SP,LAC_SPE.
LAC_TRI,LAC_TRIQ
LAG_ARC,LAG_SPE.
LAG_PRO,ARC_PROB
LAG_RHO,LAG_RHOM
LARV,LARVA
LOB_SUR,LOB_SURI
LOP_CYP,LOP_CYPR
LUC_PAR,LUC_PARV
LUT_ANA,LUT_ANAL
LUT_APO,LUT_APOD
LUT_CYA,LUT_CYAN
LUT_GRI,LUT_GRIS
LUT_JOC,LUT_JOCU
LUT_SYN,LUT_SYNA
MEG_ATL,MEG_ATLA
MIC_GUL,MIC_GULO
MUG_CEP,MUG_CEPH
MYC_BON,MYC_BONA
MYC_PHE,MYC_PHEN
NAU_DUC,NAU_DUCT
NEG_BRE,NEG_BREV
NES_LON,NES_LONG
NIC_UST,NIC_USTA
NO_FISH,NO_FISH
NO_SURVEY,NO_SURVEY
OCY_CHR,OCY_CHRY
OGI_CAY,OGI_CAYO
OPS_SP,OPS_SPE.
PAR_ALB,PAR_ALBI
PAR_MAR,PAR_MARM
POE_LAT,POE_LATI
POM_ARC,POM_ARCU
POM_PAR,POM_PARU
PRI_OPH,PRI_OPHR
PRI_SP,PRI_SPE.
PSE_MAC,PSE_MACU
PTE_VOL,PTE_VOLI
SCA_COE,SCA_COES
SCA_COEL,SCA_COEL
SCA_COER,SCA_COER
SCA_GUA,SCA_GUAC
SCA_ISE,SCA_ISER
SCA_SP,SCA_SPE.
SCA_TAE,SCA_TAEN
SCA_VET,SCA_VETU
SCI_OCE,SCI_OCEL
SEL_VOM,SEL_VOME
SER_DUM,SER_DUME
SILV,SIL_SPE.
SPA_ATO,SPA_ATOM
SPA_AUR,SPA_AURO
SPA_CHR,SPA_CHRY
SPA_RAD,SPA_RADI
SPA_RUB,SPA_RUBR
SPA_SP,SPA_SPE.
SPA_VIR,SPA_VIRI
SPH_BAR,SPH_BARR
SPH_BOR,SPH_BORE
SPH_GUA,SPH_GUAC
SPH_NEP,SPH_NEPH
SPH_SPE,SPH_SPEN
SPH_TES,SPH_TEST
sph_tes,SPH_TEST
SPH_TIB,SPH_TIBU
STE_ADU,STE_ADUS
STE_LEU,STE_LEUC
STE_VAR,STE_VARI
STR_MAR,STR_MARI
STR_NOT,STR_NOTA
SYN_FLO,SYN_FLOR
SYN_FOE,SYN_FOET
SYN_LOU,SYN_LOUI
SYN_INT,SYN_INTE
SYN_SP,SYN_SPE.
TIL_MAR,TIL_MARI
TRA_FAL,TRA_FALC
TRI_INS,TRI_INSC
UNKNOWN,UNKNOWN
URO_JAM,URO_JAMA
