"","value"
"1","SILV"
"2","LUC_PAR"
"3","FLO_CAR"
"4","SPH_BAR"
"5","GER_CIN"
"6","GERRID"
"7","LUT_GRI"
"8","CEN_UND"
"9","HAE_SCI"
"10","ARC_PRO"
"11","ABU_SAX"
"12","LAG_ARC"
"13","NEG_BRE"
"14","ECH_NAU"
"15","SPH_TES"
"16","STR_NOT"
"17","SCA_ISE"
"18","SPA_AUR"
"19","SPA_VIR"
"20","SPA_RAD"
"21","SCA_COE"
"22","SCA_GUA"
"23","DAS_AME"
"24","HAE_PAR"
"25","CRY_ROS"
"26","HAE_AUR"
"27","STR_MAR"
"28","NO_FISH"
"29","CAR_HIP"
"30","CYP_VAR"
"31","SPA_RUB"
"32","ARC_RHO"
"33","GOB_SP"
"34","URO_JAM"
"35","LUT_APO"
"36","ANI_VIR"
"37","KYP_SEC"
"38","CAR_RUB"
"39","ACA_BAH"
"40","MEG_ATL"
"41","GIN_CIR"
"42","MUG_CEP"
"43","GAMBUSIA"
"44","ANI_SUR"
"45","SPA_CHR"
"46","CHI_SCH"
"47","SCA_COER"
"48","HAE_FLA"
"49","SCA_COEL"
"50","DIP_PAU"
"51","HAE_CAR"
"52","ACA_QUA"
"53","HAE_SP"
"54","CAR_BAR"
"55","POE_LAT"
"56","PAR_MAR"
"57","FUN_GRA"
"58","LAG_RHO"
"59","SPH_SPE"
"60","HAL_MAC"
"61","LUT_SYN"
"62","HAE_PLU"
"63","MYC_BON"
"64","LUT_CYA"
"65","OCY_CHR"
"66","HEM_AMB"
"67","CHA_CAP"
"68","GYM_FUN"
"69","OGI_CAY"
"70","LUT_JOC"
"71","ACA_POL"
"72","PRI_SP"
"73","SPH_NEP"
"74","ACA_COE"
"75","STE_ADU"
"76","EQU_PUN"
"77","STE_LEU"
"78","ACA_CHI"
"79","CHA_FAB"
"80","CHL_CHR"
"81","ALB_VUL"
"82","SYN_LOU"
"83","LAC_BIC"
