"","value"
"1","APO_BINO"
"2","NIC_USTA"
"3","EPI_GUTT"
"4","PRI_AREN"
"5","CAR_RUBE"
"6","BAL_VETU"
"7","LAC_MAXI"
"8","HAE_MELA"
"9","GYM_MILI"
"10","LUT_SPE."
"11","MIC_CHRY"
"12","ACA_CHIR"
"13","SPA_RUBR"
"14","EUC_ARGE"
"15","HAL_GARN"
"16","SRR_SPE."
"17","SPA_ATOM"
"18","CHA_STRI"
"19","ODO_DENT"
"20","LAC_TRIG"
"21","REM_REMO"
"22","COR_EIDO"
"23","BLE_SPE."
"24","ACA_BAHI"
"25","INE_VITT"
"26","OPI_WHIT"
"27","RYP_MACU"
"28","BAL_CAPR"
"29","SPA_VIRI"
"30","SYN_FOET"
"31","SCA_TAEN"
"32","HAE_PARR"
"33","SER_TORT"
"34","AMB_PINO"
"35","HAE_MACR"
"36","SPH_SPEN"
"37","MUL_MART"
"38","CAR_PERE"
"39","HAE_CARB"
"40","BOD_PULC"
"41","HAE_CHRY"
"42","PEM_SCHO"
"43","PSE_MACU"
"44","CHR_INSO"
"45","SCO_PLUM"
"46","APO_TOWN"
"47","SCO_REGA"
"48","OPH_MACC"
"49","COR_PUNC"
"50","CAN_SUFF"
"51","SER_TIGR"
"52","XYR_SPE."
"53","HAR_JAGU"
"54","HYP_TANN"
"55","ATH_STIP"
"56","STE_PART"
"57","LUT_MAHO"
"58","SCO_CARI"
"59","TRA_FALC"
"60","HEM_BRAS"
"61","CHR_CYAN"
"62","HAL_RADI"
"63","GOB_SPE."
"64","AST_SPE."
"65","CHA_OCEL"
"66","MAL_MACR"
"67","CAL_BAJO"
"68","CAR_LATU"
"69","ABU_SAXA"
"70","EQU_PUNC"
"71","PAR_BAIR"
"72","MAL_AURO"
"73","ACA_QUAD"
"74","SCA_COER"
"75","CAR_LEUC"
"76","CAR_CRYS"
"77","MEL_NIGE"
"78","LUT_GRIS"
"79","ECH_NEUC"
"80","ARC_PROB"
"81","XYR_NOVA"
"82","SPH_BARR"
"83","LUT_APOD"
"84","SYN_SYNO"
"85","DEC_MACA"
"86","HAE_SCIU"
"87","HAL_BIVI"
"88","COR_PERS"
"89","HAE_STRI"
"90","DEC_PUNC"
"91","STE_SPE."
"92","HAE_FLAV"
"93","GER_CINE"
"94","ACA_SPE."
"95","EPI_MORI"
"96","DIO_HYST"
"97","POM_ARCU"
"98","GNA_THOM"
"99","SAR_CORU"
"100","LAC_TRIQ"
"101","ALU_SCRI"
"102","JEN_SPE."
"103","PTE_VOLI"
"104","HYP_GEMM"
"105","SCA_SPE."
"106","SYN_INTE"
"107","GIN_CIRR"
"108","SCO_MACU"
"109","ELA_BIPI"
"110","HOL_RUFU"
"111","CAL_PROR"
"112","COR_GLAU"
"113","LUT_JOCU"
"114","ACA_ASPE"
"115","SPA_CHRY"
"116","SER_DUME"
"117","COR_SPE."
"118","SCA_ISER"
"119","SPA_AURO"
"120","HAL_PICT"
"121","URO_JAMA"
"122","HYP_UNIC"
"123","AUL_MACU"
"124","MIC_CARR"
"125","EQU_LANC"
"126","CRY_ROSE"
"127","AET_NARI"
"128","ACA_MARI"
"129","MYR_JACO"
"130","CAL_SPE."
"131","HOL_CILI"
"132","CEN_UNDE"
"133","HOL_TOWN"
"134","CAR_SPE."
"135","HAE_SPE."
"136","CHA_CAPI"
"137","CAR_BART"
"138","CAL_CALA"
"139","PTE_CALL"
"140","STE_VARI"
"141","FIS_TABA"
"142","MON_TUCK"
"143","PAR_UMBR"
"144","HAR_HUME"
"145","DIP_ARGE"
"146","MON_CILI"
"147","GYM_FUNE"
"148","EPI_STRI"
"149","MAL_TRIA"
"150","PRO_ACUL"
"151","STE_LEUC"
"152","CHA_FABE"
"153","SER_TABA"
"154","HOL_TRIC"
"155","TYL_CROC"
"156","CAN_PULL"
"157","LUT_SYNA"
"158","LIO_RUBE"
"159","EUT_ALLE"
"160","GYM_MORI"
"161","MYC_BONA"
"162","ELA_OCEA"
"163","COR_DICR"
"164","LAC_BICA"
"165","PAR_ACUM"
"166","APO_PSEU"
"167","HAL_POEY"
"168","SCA_GUAC"
"169","XYR_MART"
"170","PTE_HELE"
"171","SPA_RADI"
"172","LUT_ANAL"
"173","DIP_FORM"
"174","LUT_BUCC"
"175","HEM_SIMU"
"176","SPA_SPE."
"177","HYP_SPE."
"178","EPI_ADSC"
"179","ACA_POLY"
"180","CAL_NODO"
"181","STE_PLAN"
"182","HAL_MACU"
"183","CAN_MACR"
"184","DIP_HOLB"
"185","ECH_NAUC"
"186","HAE_PLUM"
"187","CHR_MULT"
"188","ANI_SURI"
"189","SAR_VEXI"
"190","POM_PARU"
"191","CHR_ENCH"
"192","KYP_SECT"
"193","BOT_OCEL"
"194","RYP_SAPO"
"195","CHI_ATIN"
"196","MEG_ATLA"
"197","MAL_PLUM"
"198","SCA_COEL"
"199","STR_NOTA"
"200","SER_BALD"
"201","HOL_ADSC"
"202","ELA_MACR"
"203","ACA_COER"
"204","HOL_BERM"
"205","GYM_VICI"
"206","CAR_HIPP"
"207","THA_BIFA"
"208","SCA_CRIS"
"209","CHI_ANTE"
"210","HYP_HYBR"
"211","XYR_SPLE"
"212","HOL_SPE."
"213","HAE_AURO"
"214","HET_CRUE"
"215","CHR_SCOT"
"216","CLE_PARR"
"217","ARC_RHOM"
"218","OPI_MACR"
"219","CTE_SAEP"
"220","ELA_SPE."
"221","STE_DIEN"
"222","OPI_AURI"
"223","SCA_VETU"
"224","MYC_VENE"
"225","APO_MACU"
"226","CAL_PENN"
"227","DAS_AMER"
"228","DIO_HOLO"
"229","HYP_PUEL"
"230","MYC_PHEN"
"231","EPI_ITAJ"
"232","STE_ADUS"
"233","CAN_ROST"
"234","OXY_STIG"
"235","MYC_MICR"
"236","ALU_SPE."
"237","OCY_CHRY"
"238","HAL_CYAN"
"239","CEP_FULV"
"240","ALU_SCHO"
"241","PRI_OPHR"
"242","CEP_CRUE"
"243","MEN_SPE."
"244","PAR_MARM"
"245","BOD_RUFU"
"246","CHA_SEDE"
"247","HAE_ALBU"
"248","HYP_NIGR"
"249","ANI_VIRG"
"250","ALP_AFER"
"251","SPH_TEST"
"252","MYR_OCEL"
"253","PAR_ALBI"
"254","HYP_INDI"
"255","APO_AURO"
"256","SER_RIVO"
"257","NES_LONG"
"258","MIC_MICR"
"259","DIO_SPE."
"260","EMB_BAHA"
"261","ELA_EVEL"
"262","DEC_SPE."
"263","EMB_PAND"
"264","HET_LONG"
"265","BEL_SPE."
"266","HAL_CAUD"
"267","SCO_CAVA"
"268","HAL_SPE."
"269","GER_SPE."
"270","LAG_RHOM"
"271","LUT_CYAN"
"272","PHA_XENU"
"273","CHL_CHRY"
"274","UNK_SPE."
"275","NEG_BREV"
"276","MYC_INTE"
"277","CAR_LIMB"
"278","ANT_OCEL"
"279","LAB_NIGR"
"280","PAG_PAGR"
"281","SYA_MICR"
"282","CEN_ARGI"
"283","STR_SPE."
"284","RAC_CANA"
"285","ENG_SPE."
"286","GAL_CUVI"
"287","ARI_BALE"
"288","PAR_NIGR"
"289","IST_PLAT"
"290","CEN_STRI"
"291","MIC_SPE."
