SOURCE,ID_SURV,x,y,LIFE_STAGE,SPECIES_CODE,N,TOT_LEN
RVC,1003U_1_2014,578700.5640765966,2802117.4533244227,ALL,SCA_GUAC,0.5,29.400000000000002
RVC,1003U_1_2014,578700.5640765966,2802117.4533244227,ALL,SCA_GUAC,0,0
RVC,1003U_1_2014,578700.5640765966,2802117.4533244227,ALL,SCA_GUAC,0.5,33.6
RVC,1003U_1_2014,578700.5640765966,2802117.4533244227,ALL,SCA_GUAC,1,31.5
RVC,1003U_2_2014,578686.3578633134,2802137.304266638,ALL,SCA_GUAC,0,0
RVC,1004U_1_2014,581336.269891073,2813622.9427463408,ALL,SCA_GUAC,0,0
RVC,1005U_1_2014,582337.1193563782,2815869.45424849,ALL,SCA_GUAC,0,0
RVC,1005U_1_2014,582337.1193563782,2815869.45424849,ALL,SCA_GUAC,0.333,35.7
RVC,1009U_2_2014,580786.5236060905,2800003.5066145197,ALL,SCA_GUAC,0,0
RVC,1009U_1_2014,580792.6095073887,2799995.790977874,ALL,SCA_GUAC,0,0
RVC,1009U_1_2014,580792.6095073887,2799995.790977874,ALL,SCA_GUAC,0.5,37.800000000000004
RVC,1010U_2_2014,581314.2547050387,2802629.108269152,ALL,SCA_GUAC,0,0
RVC,1010U_2_2014,581314.2547050387,2802629.108269152,ALL,SCA_GUAC,0.5,38.85
RVC,1010U_1_2014,581319.3066693735,2802625.8164215293,ALL,SCA_GUAC,0.5,37.800000000000004
RVC,1010U_1_2014,581319.3066693735,2802625.8164215293,ALL,SCA_GUAC,0.5,33.6
RVC,1011U_1_2014,580882.202252952,2803516.8943453934,ALL,SCA_GUAC,0,0
RVC,1011U_2_2014,580887.1806173023,2803525.783821813,ALL,SCA_GUAC,0,0
RVC,1013U_2_2014,586154.0569454234,2815666.4184734,ALL,SCA_GUAC,0,0
RVC,1013U_1_2014,586150.2203803855,2815637.5993702807,ALL,SCA_GUAC,0,38.85
RVC,1013U_1_2014,586150.2203803855,2815637.5993702807,ALL,SCA_GUAC,0,0
RVC,1014U_1_2014,586352.9715797203,2815848.2178550675,ALL,SCA_GUAC,0,0
RVC,1014U_1_2014,586352.9715797203,2815848.2178550675,ALL,SCA_GUAC,0.5,39.9
RVC,1014U_2_2014,586332.0864298425,2815812.6439487855,ALL,SCA_GUAC,0,0
RVC,1015U_2_2014,586980.3113518549,2816321.8473830335,ALL,SCA_GUAC,0,0
RVC,1015U_1_2014,586980.3113518549,2816321.8473830335,ALL,SCA_GUAC,0,0
RVC,1016U_1_2014,587169.5299761428,2816599.9478018004,ALL,SCA_GUAC,2.5,38.85
RVC,1016U_1_2014,587169.5299761428,2816599.9478018004,ALL,SCA_GUAC,0.625,37.800000000000004
RVC,1016U_2_2014,587169.5299761428,2816599.9478018004,ALL,SCA_GUAC,0,0
RVC,1016U_1_2014,587169.5299761428,2816599.9478018004,ALL,SCA_GUAC,0.625,39.9
RVC,1016U_2_2014,587169.5299761428,2816599.9478018004,ALL,SCA_GUAC,0.5,35.7
RVC,1017U_1_2014,586282.3273488426,2816981.822156282,ALL,SCA_GUAC,0,0
RVC,1017U_2_2014,586282.3273488426,2816981.822156282,ALL,SCA_GUAC,0,0
RVC,1018U_1_2014,586727.6962692856,2819620.50989798,ALL,SCA_GUAC,0,0
RVC,1018U_2_2014,586727.6962692856,2819620.50989798,ALL,SCA_GUAC,0,0
RVC,1019U_2_2014,586569.5378003537,2819984.9558015154,ALL,SCA_GUAC,0,0
RVC,1019U_1_2014,586566.314699499,2820017.0520274723,ALL,SCA_GUAC,0,0
RVC,1020U_1_2014,586587.4226224864,2822500.1754325014,ALL,SCA_GUAC,0,0
RVC,1020U_1_2014,586587.4226224864,2822500.1754325014,ALL,SCA_GUAC,0,36.75
RVC,1021U_1_2014,586688.3638728712,2822741.1550718094,ALL,SCA_GUAC,0,0
RVC,1021U_2_2014,586682.69374798215,2822685.7438034727,ALL,SCA_GUAC,0,0
RVC,1022U_2_2014,586987.5487507787,2822939.1252064104,ALL,SCA_GUAC,0.625,36.75
RVC,1022U_2_2014,586987.5487507787,2822939.1252064104,ALL,SCA_GUAC,0.625,31.5
RVC,1022U_1_2014,586905.9380598317,2822971.818869295,ALL,SCA_GUAC,0,0
RVC,1022U_2_2014,586987.5487507787,2822939.1252064104,ALL,SCA_GUAC,2.5,27.3
RVC,1024U_2_2014,586827.4288945143,2823764.272037554,ALL,SCA_GUAC,0,0
