LIFE_STAGE,SPECIES_CODE,SOURCE,x,y,PRES,PRES2
SUBADULT,SCA_COER,MVS,560170.0303383276,2794265.8013380175,0,ABSENCE
SUBADULT,SCA_COER,MVS,560187.1488099061,2794265.877546135,0,ABSENCE
SUBADULT,SCA_COER,MVS,560205.1361553174,2794296.9644462825,0,ABSENCE
SUBADULT,SCA_COER,MVS,560208.1225294167,2794304.729447785,0,ABSENCE
SUBADULT,SCA_COER,MVS,560210.0674073256,2794320.2415115684,0,ABSENCE
SUBADULT,SCA_COER,MVS,560210.1216642426,2794308.060509543,0,ABSENCE
SUBADULT,SCA_COER,MVS,560218.1231266499,2794320.2773960237,0,ABSENCE
SUBADULT,SCA_COER,MVS,560223.1431506681,2794323.62191779,0,ABSENCE
SUBADULT,SCA_COER,MVS,560312.1225294201,2794016.1653800285,0,ABSENCE
SUBADULT,SCA_COER,MVS,560320.4487416034,2791471.4343903405,0,ABSENCE
SUBADULT,SCA_COER,MVS,560323.415977224,2791483.628819943,0,ABSENCE
SUBADULT,SCA_COER,MVS,560323.4258492372,2791481.414099629,0,ABSENCE
SUBADULT,SCA_COER,MVS,560323.4357212431,2791479.199379321,0,ABSENCE
SUBADULT,SCA_COER,MVS,560326.4720598637,2791475.890767511,0,ABSENCE
SUBADULT,SCA_COER,MVS,560329.4837175158,2791478.11895714,0,ABSENCE
SUBADULT,SCA_COER,MVS,560334.2713174183,2794017.3715946334,0,ABSENCE
SUBADULT,SCA_COER,MVS,560335.5119668562,2791481.467978316,0,ABSENCE
SUBADULT,SCA_COER,MVS,560338.3091527562,2794015.174844286,0,ABSENCE
SUBADULT,SCA_COER,MVS,560347.3525201381,2796274.285095504,0,ABSENCE
SUBADULT,SCA_COER,MVS,560351.3901077821,2794017.4480044064,0,ABSENCE
SUBADULT,SCA_COER,MVS,560351.3950512032,2794016.340640805,0,ABSENCE
SUBADULT,SCA_COER,MVS,560362.6859752263,2791486.018685667,0,ABSENCE
SUBADULT,SCA_COER,MVS,560444.0441595797,2792663.5301680807,0,ABSENCE
SUBADULT,SCA_COER,MVS,560447.0901680792,2792658.006859507,0,ABSENCE
SUBADULT,SCA_COER,MVS,560448.0873599593,2792660.226083756,0,ABSENCE
SUBADULT,SCA_COER,MVS,560450.1064865148,2792659.1277229874,0,ABSENCE
SUBADULT,SCA_COER,MVS,560451.0838824324,2792665.776395107,0,ABSENCE
SUBADULT,SCA_COER,MVS,560452.1305623213,2792656.9220006135,0,ABSENCE
SUBADULT,SCA_COER,MVS,560460.152628475,2792664.7095427318,0,ABSENCE
