OBJECTID,NAME,ZONE_TYPE,REGULATION,AREA,MIN_ALL,MAX_ALL,RANGE_ALL,MEAN_ALL,STD_ALL,SUM_ALL,MEDIAN_ALL,PCT90_ALL,PCT10_ALL,MIN_INV,MAX_INV,RANGE_INV,MEAN_INV,STD_INV,SUM_INV,MEDIAN_INV,PCT90_INV,PCT10_INV,MIN_SCA,MAX_SCA,RANGE_SCA,MEAN_SCA,STD_SCA,SUM_SCA,MEDIAN_SCA,PCT90_SCA,PCT10_SCA
1,Eastern Sambo Special Use Area,ROA,Transit Only,624550,0.080536142,0.967016578,0.886480436,0.681232891,0.228767978,17018.56009,0.768701226,0.921976721,0.326571873,0.073888302,0.944606006,0.870717704,0.662626185,0.208916946,16553.72736,0.720130265,0.908335865,0.353170088,0.084968038,0.990763664,0.905795626,0.693637361,0.244659238,17328.44856,0.801555991,0.935320878,0.300089464
2,Looe Key Special Use Area,ROA,Transit Only,599675,0.06869024,0.992162228,0.923471987,0.246094237,0.2151292,5903.062455,0.156560421,0.675692415,0.098386055,0.051527448,0.986073971,0.934546523,0.268621287,0.206686794,6443.418804,0.191931009,0.652542138,0.100106773,0.069415435,0.99703604,0.927620605,0.231076204,0.223748744,5542.824894,0.132699966,0.691933203,0.096662001
3,Conch Reef Special Use Area,ROA,Transit Only,48325,0.051877748,0.745284379,0.69340663,0.363788183,0.236975979,703.2025569,0.222575143,0.679197609,0.110065268,0.040943772,0.608016491,0.567072719,0.297107315,0.170257029,574.3084407,0.20683451,0.534113395,0.110202684,0.059167068,0.882270336,0.823103268,0.408242094,0.283746704,789.1319677,0.230867669,0.781537342,0.110764456
4,Tennessee Reef Special Use Area,ROA,Transit Only,478025,0.072033957,0.914673209,0.842639253,0.448332315,0.309364981,8572.562196,0.340342581,0.851706207,0.111283198,0.071438804,0.900673509,0.829234704,0.457449917,0.277685703,8746.899864,0.392944515,0.816563487,0.133806497,0.06531927,0.942990005,0.877670735,0.442253913,0.331771484,8456.337078,0.293542325,0.877681017,0.095540397
5,Sand Key Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,1029975,0.078196459,0.988556027,0.910359569,0.529675207,0.279616895,21822.08884,0.44114241,0.899148488,0.188290676,0.05636625,0.987862468,0.931496218,0.525445731,0.237383648,21647.83865,0.495879501,0.854425001,0.220949697,0.079859905,0.995305002,0.915445097,0.532494857,0.312087204,21938.25563,0.404059678,0.934571874,0.16420173
6,Rock Key Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,268800,0.104075082,0.988133013,0.884057932,0.822564308,0.169480588,8844.21144,0.887611002,0.957797498,0.542199773,0.080306098,0.975471973,0.895165876,0.777303743,0.169953275,8357.569841,0.83510676,0.934748411,0.46323545,0.119921066,0.997377992,0.877456926,0.852738019,0.172500446,9168.639177,0.923654348,0.974046272,0.597587138
7,Eastern Dry Rocks Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,367850,0.100030802,0.983039796,0.883008994,0.74576825,0.215883331,10973.23403,0.83159709,0.96128183,0.428979471,0.09551125,0.981821001,0.88630975,0.728748674,0.197761552,10722.80799,0.779264003,0.94415338,0.447863537,0.096375935,0.994423985,0.898048051,0.757114634,0.232696071,11140.18473,0.864924669,0.974230486,0.390441114
8,Looe Key Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,1514825,0.078249723,0.964245617,0.885995895,0.437083485,0.273856952,26484.19961,0.317544788,0.89476254,0.162051523,0.066496849,0.929388523,0.862891674,0.429947818,0.244291948,26051.82812,0.333377004,0.851850116,0.178938204,0.07842283,0.994210005,0.915787175,0.441840597,0.296397725,26772.44729,0.306230664,0.926031256,0.14586325
9,Sombrero Key Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,676300,0.081750222,0.959928632,0.87817841,0.637912026,0.248268861,17256.79611,0.749435991,0.864997721,0.234787926,0.071000151,0.921589017,0.850588866,0.615832716,0.221337007,16659.50662,0.703531772,0.829039496,0.270044556,0.079606935,0.992027998,0.912421063,0.652631565,0.267936434,17654.98911,0.777706832,0.895455176,0.204076667
10,Coffins Patch Sanctuary Preservation Area,SPA,Sanctuary Preservation Area,1003500,0.069923081,0.992080986,0.922157906,0.330832823,0.262508978,13279.62951,0.212765723,0.849452811,0.125652404,0.0545079,0.983152509,0.928644609,0.337862892,0.24176027,13561.81649,0.244732991,0.801349497,0.129409748,0.074679933,0.998879313,0.92419938,0.32614611,0.278303072,13091.50486,0.191371664,0.879502493,0.120623429
