SOURCE,ID_SURV,ID_SITE,x,y,PRES_COEL,PRES_COER,PRES_GUAC,PRES_HERB,PRES_GRIS,PRES_SCIU,PRES_INVERT
RVC,1005U_1_2014,1005U_1,582337.1193563782,2815869.45424849,0,1,1,1,1,1,1
RVC,1014U_1_2014,1014U_1,586352.9715797203,2815848.2178550675,0,0,1,1,1,1,1
RVC,1018U_1_2014,1018U_1,586727.6962692856,2819620.50989798,0,0,0,0,1,0,1
RVC,1020U_1_2014,1020U_1,586587.4226224864,2822500.1754325014,0,0,0,0,1,1,1
RVC,1021U_1_2014,1021U_1,586688.3638728712,2822741.1550718094,0,1,0,1,1,0,1
RVC,1021U_2_2014,1021U_2,586682.69374798215,2822685.7438034727,0,0,0,0,1,1,1
RVC,1024U_1_2014,1024U_1,586917.6959864778,2823790.331432435,0,1,1,1,1,0,1
RVC,1024U_2_2014,1024U_2,586827.4288945143,2823764.272037554,0,0,1,1,1,1,1
RVC,1025U_1_2014,1025U_1,586732.442676079,2824000.6580963894,0,0,1,1,1,1,1
RVC,1026U_1_2014,1026U_1,588696.9900631028,2836056.577969877,0,0,0,0,1,0,1
RVC,1033U_2_2014,1033U_2,590426.5301732239,2834467.868742361,0,0,0,0,1,0,1
RVC,1033U_1_2014,1033U_1,590444.7153334876,2834451.37964265,0,0,0,0,1,0,1
RVC,1040U_1_2014,1040U_1,590428.2714459808,2828888.228901166,0,0,0,0,1,0,1
RVC,1042U_2_2014,1042U_2,590758.4327740914,2830556.170153833,0,0,0,0,1,0,1
RVC,1044U_1_2014,1044U_1,589516.6079153436,2820135.0359757124,0,0,1,1,1,0,1
RVC,1051U_2_2014,1051U_2,590049.6431175845,2824860.990926153,0,0,0,0,1,1,1
RVC,1051U_1_2014,1051U_1,590060.9118269677,2824828.94935758,0,0,0,0,1,1,1
RVC,1056U_2_2014,1056U_2,590868.2108806253,2830806.1090364405,0,0,0,0,1,1,1
RVC,1056U_1_2014,1056U_1,590841.1781964595,2830793.741991849,0,0,0,0,1,1,1
RVC,1063U_2_2014,1063U_2,585210.6274263284,2806841.605611567,0,0,0,0,1,1,1
RVC,1063U_1_2014,1063U_1,585197.4993398595,2806849.274686229,0,0,0,0,1,1,1
RVC,1066U_2_2014,1066U_2,584153.7676595896,2807394.218905992,0,0,0,0,1,1,1
