"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","0.5","fc.L_rm.0.5",0.911408074625509,0.957,0.0223707081163713,0.0211150660647858,0.904412566481964,0.0283957720663549,0.7842,0.114431736079735,0.107275132275132,0.0790864450427394,0.0037037037037037,0.0117121394821051,4325.10773440611,52.4901321031202,3.85462907864901e-12,20
"2","LQ","0.5","fc.LQ_rm.0.5",0.920417366601064,0.969,0.0193379050994056,0.0193016601542816,0.914193627692526,0.0249019632159783,0.8467,0.0594195067109933,0.110846560846561,0.078224709419625,0.00740740740740741,0.0156161859761401,4304.33209706483,31.7144947618362,1.2512812042633e-07,27
"3","LQH","0.5","fc.LQH_rm.0.5",0.935549621869141,0.977,0.0204432782885467,0.0115178805094285,0.922949894402428,0.0191709834089753,0.7224,0.155463607745779,0.110582010582011,0.0834887924079564,0.00740740740740741,0.0156161859761401,4521.65348362605,249.035881323057,8.06520534828273e-55,115
"4","LQHP","0.5","fc.LQHP_rm.0.5",0.935778724901209,0.986,0.0216692938207476,0.0128015185089672,0.921930093665523,0.0199345789496644,0.7409,0.119487284307206,0.117989417989418,0.0794258047126691,0.00740740740740741,0.0156161859761401,4568.58339239092,295.965790087924,5.19894500016249e-65,123
"5","L","1","fc.L_rm.1",0.910973517906619,0.951,0.0225287222086635,0.0201722450263251,0.904500838210532,0.028018573927219,0.7848,0.107837119974731,0.107275132275132,0.0790864450427394,0.0037037037037037,0.0117121394821051,4328.51050662276,55.8929043197622,7.0320183424819e-13,20
"6","LQ","1","fc.LQ_rm.1",0.918678031162447,0.98,0.0198068300188454,0.0189395230715978,0.912674768485403,0.0250571190004863,0.8004,0.0715513801404278,0.114550264550265,0.0791104085659122,0.00740740740740741,0.0156161859761401,4309.60819817534,36.990595872343,8.94672568898635e-09,25
"7","LQH","1","fc.LQH_rm.1",0.931832609934351,0.974,0.0192680745613321,0.0130893733807333,0.923088567380576,0.0199738758105807,0.7652,0.123115844273234,0.118121693121693,0.0757557953137976,0.0037037037037037,0.0117121394821051,4283.85733995537,11.2397376523804,0.00349455545335068,52
"8","LQHP","1","fc.LQHP_rm.1",0.931665586433553,0.97,0.0189747400825743,0.0128567726815036,0.92409259206275,0.0198543690642933,0.7496,0.177055044799319,0.114285714285714,0.0806364944969004,0.0037037037037037,0.0117121394821051,4281.2021012963,8.58449899330753,0.0131816472473627,51
"9","L","2","fc.L_rm.2",0.91084898932306,0.945,0.0221162233477038,0.019090246898357,0.905079452503346,0.0270997624612509,0.7979,0.0960340795990905,0.107275132275132,0.0790864450427394,0.0037037037037037,0.0117121394821051,4328.18514913427,55.567546831272,8.27428500296811e-13,18
"10","LQ","2","fc.LQ_rm.2",0.917735752562813,0.97,0.020070400774826,0.0177273518352776,0.912354756977228,0.0246806050586157,0.8135,0.0931668157422779,0.110978835978836,0.0820258704529839,0.0037037037037037,0.0117121394821051,4305.18189272043,32.5642904174338,8.18133430271544e-08,20
"11","LQH","2","fc.LQH_rm.2",0.929795071033026,0.979,0.0169190757732658,0.0125247393614359,0.923732087356161,0.0187358668360073,0.7672,0.0879517544515805,0.107142857142857,0.0771315138322125,0.0037037037037037,0.0117121394821051,4272.61760230299,0,0.963984290918856,38
"12","LQHP","2","fc.LQHP_rm.2",0.929799505285259,0.965,0.0171859050835702,0.0115269195243099,0.924040932437688,0.0185123340939548,0.7654,0.101575587618286,0.0997354497354497,0.080203779325332,0.0037037037037037,0.0117121394821051,4282.64504037168,10.0274380686869,0.00640677461691714,41
