"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","0.5","fc.L_rm.0.5",0.846230099577916,0.918,0.0204904427263493,0.0138543795618211,0.844275105530185,0.0233571765465285,0.8834,0.0568393447456171,0.108561495002173,0.0347635989417806,0.00169491525423729,0.00535979264435318,20400.237438136,762.496756261855,2.1632818553172e-166,18
"2","LQ","0.5","fc.LQ_rm.0.5",0.873658236034265,0.985,0.0147791265964359,0.00786246407489638,0.871247548973314,0.0158041831858486,0.9539,0.0273838963220681,0.101796320440388,0.0256567349496256,0.000847457627118644,0.00267989632217659,20172.692797399,534.952115524862,5.56934391448051e-117,27
"3","LQH","0.5","fc.LQH_rm.0.5",0.926454118038367,0.999,0.0120719768330614,0.0105259520391996,0.922107896586149,0.0144383465451426,0.9725,0.0172256269036056,0.107721280602637,0.025917640781678,0.00254961610893814,0.00410531928688434,19709.6051100882,71.8644282140922,2.0138061146044e-16,161
"4","LQHP","0.5","fc.LQHP_rm.0.5",0.928482700207772,0.998,0.0118483036843562,0.0106172690491942,0.923515240618337,0.0142936841281587,0.9731,0.0174702922445823,0.108561495002173,0.0298213804424098,0.0017021584818195,0.00358850577239318,19697.0878548448,59.3471729706253,1.05221647051318e-13,167
"5","L","1","fc.L_rm.1",0.846645354386727,0.916,0.0207104810493061,0.0136926802632116,0.844868335733768,0.023450902523734,0.8811,0.0583084708921249,0.108568738229755,0.0324127838448571,0.00169491525423729,0.00535979264435318,20393.6320964745,755.891414600312,5.88091395202159e-165,14
"6","LQ","1","fc.LQ_rm.1",0.872669914300716,0.995,0.0155224320953817,0.00860751052065643,0.869957693051889,0.0167353446719028,0.9626,0.0244640325557519,0.105193394176445,0.0251208352973237,0.00254237288135593,0.00571990303144536,20191.4334481693,553.692766295153,4.74595295160211e-121,25
"7","LQH","1","fc.LQH_rm.1",0.923439804700287,0.997,0.0118164617324917,0.010134950033317,0.919928073139858,0.0142613024032027,0.9684,0.0235758822151414,0.111111111111111,0.0289308691068497,0.000847457627118644,0.00267989632217659,19668.526429668,30.7857477938887,1.67548201495487e-07,123
"8","LQHP","1","fc.LQHP_rm.1",0.925132250460229,0.996,0.0118831667697668,0.0101536857366487,0.921588035795384,0.014443431372234,0.9651,0.0238767669503222,0.106866579747936,0.0282890092905081,0.0017021584818195,0.00358850577239318,19640.6583033748,2.91762150060822,0.188636836887697,121
"9","L","2","fc.L_rm.2",0.847391267197316,0.915,0.0210483155463422,0.013360490808816,0.84566051315823,0.023534715313715,0.8803,0.0585188478659274,0.103476749239461,0.029024436291862,0.00169491525423729,0.00535979264435318,20398.2691248985,760.528443024385,5.78797832998587e-166,14
"10","LQ","2","fc.LQ_rm.2",0.87005522744565,0.98,0.0164830404976126,0.00860780695657767,0.868363082645705,0.0177721451045427,0.9588,0.0297762022800461,0.102636534839925,0.0224413847228116,0.00169491525423729,0.00535979264435318,20218.4516337484,580.710951874211,6.4476131826812e-127,19
"11","LQH","2","fc.LQH_rm.2",0.920594345230057,0.998,0.0121142452738473,0.0094319185974772,0.918330112396381,0.0142874886836876,0.9697,0.0205374995773314,0.106026365348399,0.0274785182176588,0.000847457627118644,0.00267989632217659,19656.5796537517,18.8389718775688,6.58186846433689e-05,95
"12","LQHP","2","fc.LQHP_rm.2",0.921845078444853,0.998,0.0120942890919573,0.00954476592018126,0.919620903641456,0.0143170021868648,0.9649,0.0202783409358633,0.106866579747936,0.0309816814680138,0.000847457627118644,0.00267989632217659,19637.7406818742,0,0.811297176330937,95
"13","L","5","fc.L_rm.5",0.8486947035434,0.923,0.021361344695118,0.0129969383687927,0.847270844545249,0.0235910230643696,0.891,0.0705218642219087,0.105164421266116,0.0307046303664221,0.00169491525423729,0.00535979264435318,20429.5355395286,791.794857654448,9.39964009459163e-173,14
"14","LQ","5","fc.LQ_rm.5",0.859202714164546,0.932,0.0188002226784352,0.011169451699864,0.858384160321916,0.0216218931749692,0.8999,0.0683332520324719,0.103476749239461,0.0251980634202162,0.00169491525423729,0.00535979264435318,20347.7015454887,709.96086361452,5.53525008051285e-155,15
"15","LQH","5","fc.LQH_rm.5",0.91568976889953,0.998,0.0123697335936443,0.00924610711264882,0.913399067980991,0.0143937111868703,0.9691,0.0137392382127492,0.104309720411415,0.0352500509326292,0.000847457627118644,0.00267989632217659,19690.0395824037,52.298900529513,3.56958731531828e-12,58
"16","LQHP","5","fc.LQHP_rm.5",0.915746251707437,0.999,0.0123441434591555,0.00933342305082544,0.91339839559245,0.0144132135433998,0.9682,0.016598527377786,0.104309720411415,0.0345642463937643,0.000847457627118644,0.00267989632217659,19679.9834781208,42.24279624665,5.44845426095081e-10,55
"17","L","6","fc.L_rm.6",0.849137647668568,0.925,0.0213745997761759,0.0132927793499622,0.847847815567029,0.0237724468591733,0.8936,0.0727036603082831,0.10432420686658,0.0293633067074336,0.00169491525423729,0.00535979264435318,20440.2086685678,802.467986693602,4.5234594545167e-175,13
"18","LQ","6","fc.LQ_rm.6",0.853920467450019,0.928,0.0200377742518016,0.0126910757545368,0.853452025360494,0.0230341104633056,0.8931,0.0768048754239527,0.105171664493698,0.0282947950011357,0.00169491525423729,0.00535979264435318,20405.2895098989,767.548828024719,1.73009385353004e-167,14
"19","LQH","6","fc.LQH_rm.6",0.914033336238163,0.997,0.0124232370885053,0.00924567477577731,0.911840909447644,0.0144833662617458,0.97,0.0135400640077266,0.101767347530059,0.0345586221942717,0.000847457627118644,0.00267989632217659,19744.0272593635,106.286577489354,6.75060835282271e-24,65
"20","LQHP","6","fc.LQHP_rm.6",0.914093896000627,0.997,0.0124175305361125,0.00930992334755171,0.911867309583264,0.0145295231954618,0.9708,0.0158801063528485,0.103462262784297,0.0323604192898819,0.000847457627118644,0.00267989632217659,19738.1573055358,100.416623661673,1.27053663062097e-22,64
