"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","0.5","fc.L_rm.0.5",0.860631711318923,0.988,0.0131718754546964,0.0127027411077353,0.858033458380194,0.0169629200854059,0.9408,0.0330312982891479,0.1,0.0290943736356672,0.000961538461538462,0.00304065159631575,17860.3172630021,961.024729922152,2.07076783608993e-209,21
"2","LQ","0.5","fc.LQ_rm.0.5",0.88952986103622,0.994,0.0101065851165991,0.00934893906461869,0.887058131383938,0.0129527419519239,0.9677,0.020811588652052,0.101923076923077,0.0198614530574739,0.000961538461538462,0.00304065159631575,17533.4654907815,634.172957701518,1.95475327132446e-138,27
"3","LQH","0.5","fc.LQH_rm.0.5",0.944413043645719,0.994,0.00981473956701777,0.00649035122160099,0.939539008457995,0.00987449366085524,0.9655,0.012607317099385,0.106730769230769,0.0241769514944181,0.00192307692307692,0.004054202128421,17017.0340306366,117.741497556613,2.70868597890139e-26,167
"4","LQHP","0.5","fc.LQHP_rm.0.5",0.945629843319108,0.995,0.00972633053796685,0.00672105212181463,0.940516049392226,0.0100218168577834,0.9657,0.0200834370675053,0.109615384615385,0.0261173702403376,0.00192307692307692,0.004054202128421,16988.7623212906,89.4697882106739,3.73149050738205e-20,164
"5","L","1","fc.L_rm.1",0.860727951824863,0.99,0.013175983770441,0.0122681197545273,0.858230416814309,0.0166962538944674,0.9405,0.0342547644699082,0.1,0.0290943736356672,0.000961538461538462,0.00304065159631575,17860.8560550434,961.563521963475,1.58173675147642e-209,20
"6","LQ","1","fc.LQ_rm.1",0.888354176616494,0.993,0.0104884391566997,0.00932566012831259,0.886100107458134,0.0133777977961734,0.9614,0.0246224829508859,0.102884615384615,0.0202963335884456,0.000961538461538462,0.00304065159631575,17540.1737847561,640.881251676194,6.82974392497558e-140,24
"7","LQH","1","fc.LQH_rm.1",0.94158514227611,0.992,0.00981230025454439,0.00628126522236619,0.938570344636337,0.0105441179190698,0.9716,0.0154574685292687,0.108653846153846,0.0264495910715099,0.00192307692307692,0.004054202128421,16941.068042704,41.7755096240908,8.48327108874889e-10,122
"8","LQHP","1","fc.LQHP_rm.1",0.942658568149255,0.994,0.00998792540325688,0.00672059153329524,0.93929655363663,0.0107550588335333,0.9683,0.0223111830454794,0.109615384615385,0.028379414898947,0.00192307692307692,0.004054202128421,16899.2925330799,0,0.999999999127325,111
"9","L","2","fc.L_rm.2",0.860739121308293,0.993,0.0132108830567923,0.0116138783946505,0.858311877012433,0.0163539493516083,0.945,0.0312303271409912,0.1,0.0272718556233111,0.000961538461538462,0.00304065159631575,17865.1320988217,965.839565741742,1.86467477965157e-210,18
"10","LQ","2","fc.LQ_rm.2",0.88528786454883,0.995,0.0111249927248575,0.00956223109734867,0.883493910705757,0.0143444652293393,0.9517,0.027896833751043,0.101923076923077,0.019337311703844,0.000961538461538462,0.00304065159631575,17566.5411167246,667.248583644643,1.28472753512499e-145,19
"11","LQH","2","fc.LQH_rm.2",0.940831491010492,0.999,0.0100348982164774,0.00666590984553607,0.937767971313685,0.0109032986945067,0.9662,0.0222301097113302,0.105769230769231,0.0283069258536149,0.000961538461538462,0.00304065159631575,16948.4539116649,49.1613785849986,2.11223521327037e-11,108
"12","LQHP","2","fc.LQHP_rm.2",0.940963454605679,0.999,0.010279011342375,0.00665637533977652,0.937814286154462,0.0110433621337488,0.9649,0.0236711263403798,0.104807692307692,0.0291825118976668,0.000961538461538462,0.00304065159631575,16952.2125088979,52.919975817993,3.22532334120074e-12,111
"13","L","5","fc.L_rm.5",0.859717113574389,0.987,0.0134948008408353,0.0105505213235058,0.85755451863378,0.0162540611031269,0.9382,0.0255203622405499,0.102884615384615,0.0317453346523446,0.000961538461538462,0.00304065159631575,17901.3848886577,1002.0923555778,2.50270584089375e-218,14
"14","LQ","5","fc.LQ_rm.5",0.875008665978524,0.976,0.013216483846616,0.0109615436905093,0.873429772835816,0.0174038529004947,0.9342,0.0282244968462189,0.102884615384615,0.0248474967221978,0.000961538461538462,0.00304065159631575,17716.1721788844,816.879645804464,4.1384596353056e-178,16
"15","LQH","5","fc.LQH_rm.5",0.937218451986627,0.998,0.00964072457851248,0.00770110419784732,0.935301248671217,0.0114793227239685,0.9718,0.013331666562487,0.103846153846154,0.0247439218789984,0.000961538461538462,0.00304065159631575,16978.64255903,79.350025950007,5.87977618856363e-18,67
"16","LQHP","5","fc.LQHP_rm.5",0.937150761065492,0.999,0.00986837234521492,0.00778004985805072,0.935159463633703,0.0116316511883881,0.9691,0.0178664800985284,0.104807692307692,0.0325127042382455,0.000961538461538462,0.00304065159631575,17013.3279453331,114.035412253164,1.72792488031374e-25,84
"17","L","6","fc.L_rm.6",0.859200284244096,0.987,0.0136018738199291,0.0102641271497119,0.8570516993021,0.0163046156307934,0.9333,0.03008524924647,0.101923076923077,0.0276459726318562,0.000961538461538462,0.00304065159631575,17917.6439332098,1018.35140012982,7.37569827347628e-222,13
"18","LQ","6","fc.LQ_rm.6",0.872471267466761,0.971,0.0136848960339347,0.0108068279587138,0.87080557010584,0.0178326979842297,0.9254,0.0357559629836603,0.102884615384615,0.0248474967221978,0.000961538461538462,0.00304065159631575,17759.4638425765,860.171309496553,1.64502838722074e-187,14
"19","LQH","6","fc.LQH_rm.6",0.93646874855567,0.999,0.00960563806423009,0.00791812159219576,0.934268264031182,0.0115014164515429,0.9696,0.0123306303344332,0.101923076923077,0.0280150940812976,0.000961538461538462,0.00304065159631575,17017.3127692782,118.020236198219,2.3563040663051e-26,68
"20","LQHP","6","fc.LQHP_rm.6",0.936288592491026,0.997,0.00975011383458211,0.00799804003603501,0.934096629512086,0.0116587567975188,0.9682,0.0125326240934079,0.101923076923077,0.0301350237783158,0.000961538461538462,0.00304065159631575,17032.3820386851,133.089505605119,1.25887050382108e-29,74
