"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","0.5","fc.L_rm.0.5",0.934142393946119,0.955,0.0220866503670911,0.024880721448776,0.927351039994003,0.0305602095657976,0.7765,0.103198029696954,0.113157894736842,0.069359152163201,0.0166666666666667,0.052704627669473,2839.26752370985,30.8979495721305,1.80103009721457e-07,20
"2","LQ","0.5","fc.LQ_rm.0.5",0.94314256174861,0.975,0.0197170970126528,0.0223939100651642,0.934600809554429,0.0267741956681591,0.83,0.0635487564350747,0.123391812865497,0.076020892646481,0.0111111111111111,0.0351364184463153,2815.08035404221,6.71077990448248,0.0321883066568199,26
"3","LQH","0.5","fc.LQH_rm.0.5",0.958467259568802,0.976,0.02412331579846,0.0236161565944394,0.941175159843664,0.0271375820338227,0.8328,0.0423367452693284,0.134210526315789,0.0874204352172235,0.0111111111111111,0.0351364184463153,3519.24112797171,710.871553833986,3.99143338055419e-155,130
"4","LQHP","0.5","fc.LQHP_rm.0.5",0.959963408230983,0.979,0.0230469685570993,0.0241414602471252,0.943004153182877,0.0271211963347837,0.7951,0.096821083562529,0.139766081871345,0.0875545344536053,0.0111111111111111,0.0351364184463153,3694.42269864468,886.053124506959,3.63859859783908e-193,137
"5","L","1","fc.L_rm.1",0.933922085514315,0.958,0.0225089028977319,0.0250120329192286,0.928095810743228,0.0309982735197459,0.7931,0.102527448899199,0.118421052631579,0.0706778904299707,0.0166666666666667,0.052704627669473,2835.97401863695,27.6044444992303,9.34752230340281e-07,18
"6","LQ","1","fc.LQ_rm.1",0.942089736441829,0.979,0.020502281596509,0.0236822711719119,0.934885623498629,0.0286783107603619,0.82,0.0510729326007861,0.112865497076023,0.077975146160759,0.0111111111111111,0.0351364184463153,2815.09570235393,6.7261282162076,0.0319422339822678,24
"7","LQH","1","fc.LQH_rm.1",0.953793148245381,0.982,0.02259956529188,0.0235355020975273,0.939472512980161,0.0281430096958143,0.8137,0.100195420165905,0.128654970760234,0.104783761429589,0.0111111111111111,0.0351364184463153,2994.5151142026,186.145540064879,3.49892819944592e-41,86
"8","LQHP","1","fc.LQHP_rm.1",0.95468358404469,0.982,0.0219902894262103,0.0249430912540894,0.940423961967808,0.0287116048363764,0.8077,0.092218400188538,0.134210526315789,0.0886184156592993,0.0111111111111111,0.0351364184463153,2999.45106832403,191.081494186306,2.96555656108162e-42,88
"9","L","2","fc.L_rm.2",0.933935617973271,0.966,0.0224547604714958,0.0256236194044656,0.928790028261789,0.0314874655253048,0.8034,0.0930510015469414,0.118421052631579,0.0706778904299707,0.0166666666666667,0.052704627669473,2838.8376916596,30.4681175218789,2.23284108240352e-07,18
"10","LQ","2","fc.LQ_rm.2",0.94039276608874,0.958,0.021424660411572,0.0248477274840679,0.934922136605282,0.03006877325554,0.8084,0.0788052451723022,0.113157894736842,0.0786284560530151,0.0111111111111111,0.0351364184463153,2808.36957413772,0,0.92241311900023,18
