"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","0.5","fc.L_rm.0.5",0.851405745132969,0.925,0.0289952889128186,0.0229557124660638,0.844167587463358,0.0339250237608422,0.7955,0.115110816172938,0.102367424242424,0.0573026657638856,0.012405303030303,0.0217617674752201,5400.06652166426,235.804910346546,5.80092832764278e-52,19
"2","LQ","0.5","fc.LQ_rm.0.5",0.871032603539692,0.916,0.0334349971359439,0.0244430195936822,0.862552104195874,0.03776711317663,0.7903,0.117876630423507,0.108522727272727,0.0770204607546573,0.003125,0.00988211768802619,5351.28788111339,187.026269795672,2.26800868163005e-41,25
"3","LQH","0.5","fc.LQH_rm.0.5",0.922763075736372,0.979,0.0285509097566495,0.0256563396269241,0.904498409515746,0.0325883880125681,0.8629,0.0676862861540898,0.133143939393939,0.0637660640137378,0.015625,0.0265573932999624,5372.07268947664,207.811078158921,6.95474038657303e-46,122
"4","LQHP","0.5","fc.LQHP_rm.0.5",0.923210761319718,0.981,0.0291651437288249,0.0255542784229201,0.903927544016168,0.0323191655585043,0.8651,0.0657494402173044,0.130113636363636,0.0636174464827857,0.015625,0.0265573932999624,5424.40123650589,260.139625188172,3.01495831855642e-57,132
"5","L","1","fc.L_rm.1",0.851149504042502,0.936,0.0293537389294943,0.0226829545267097,0.844100670863451,0.0340877178093911,0.8124,0.107468031422269,0.105492424242424,0.063027376562955,0.012405303030303,0.0217617674752201,5397.1826584591,232.921047141381,2.45312929011456e-51,17
"6","LQ","1","fc.LQ_rm.1",0.868911212539661,0.912,0.0334750050299604,0.0234956519490588,0.86144593908745,0.0373844228251995,0.8029,0.102695288218215,0.111647727272727,0.0726373015354691,0.003125,0.00988211768802619,5355.50974853568,191.248137217964,2.7471213884163e-42,23
"7","LQH","1","fc.LQH_rm.1",0.918661358099482,0.972,0.0268280715491697,0.0241765177336062,0.904423778517197,0.0316651453690695,0.8297,0.0649188382178514,0.120738636363636,0.0607591743546885,0.009375,0.015095184110614,5254.3500444998,90.0884331820816,2.54348087899797e-20,89
"8","LQHP","1","fc.LQHP_rm.1",0.915275503351751,0.973,0.0266489983161034,0.0224327434661799,0.904352172587076,0.0312512771050088,0.8268,0.0797423629223793,0.11467803030303,0.0531812463697232,0.00625,0.0131761569173682,5164.26161131772,0,0.928716548669313,54
"9","L","2","fc.L_rm.2",0.849769398520157,0.937,0.029814025604199,0.0226154808373455,0.842381725514205,0.0343840749865033,0.8367,0.0748703323531201,0.108617424242424,0.069689435276586,0.009375,0.015095184110614,5402.35794367099,238.096332353273,1.84468209769029e-52,16
"10","LQ","2","fc.LQ_rm.2",0.866189755440899,0.926,0.032884223671362,0.0224109651767658,0.858807709581293,0.0363183973381083,0.8342,0.0685254210737397,0.102367424242424,0.0627266862691969,0.00625,0.0131761569173682,5363.78665169942,199.525040381701,4.38097893126751e-44,20
"11","LQH","2","fc.LQH_rm.2",0.912407091290035,0.989,0.0278399119999403,0.0243774101394666,0.901256190484861,0.0331560737617121,0.8415,0.0908750668653277,0.10842803030303,0.0573805120584541,0.00625,0.0131761569173682,5169.39589007114,5.13427875341949,0.0712834513134247,47
"12","LQHP","2","fc.LQHP_rm.2",0.913339976276384,0.974,0.0290128456006147,0.0247014922270184,0.900353800244585,0.0337907066404697,0.8474,0.0767741275864901,0.111458333333333,0.0571522341889938,0.00625,0.0131761569173682,5269.72801379857,105.466402480857,1.16451442464591e-23,81
"13","L","5","fc.L_rm.5",0.845533437214577,0.952,0.031765617240312,0.0222122428695508,0.836754809005335,0.0360592565414144,0.863,0.0668946103127067,0.11780303030303,0.0606178965715296,0.0125,0.0218501843368782,5421.38282609327,257.121214775555,1.36370617051791e-56,14
"14","LQ","5","fc.LQ_rm.5",0.854949870995865,0.958,0.0315948923262925,0.022637636615609,0.846643800373553,0.0356345707750158,0.8852,0.0345890155974408,0.10842803030303,0.06300373789143,0.009375,0.0210921424284548,5402.42644329161,238.164831973894,1.78257179030448e-52,16
"15","LQH","5","fc.LQH_rm.5",0.906276527075987,0.974,0.0307888130574037,0.0230772976766657,0.895854432948552,0.0348037082132315,0.8561,0.0840442343848365,0.114583333333333,0.0604084531005338,0.003125,0.00988211768802619,5213.96384090878,49.7022295910674,1.49685991846359e-11,36
"16","LQHP","5","fc.LQHP_rm.5",0.906408910555273,0.972,0.0309349220748236,0.0232020032207022,0.895925052649467,0.0352000591620337,0.8566,0.0698684478144463,0.120738636363636,0.0658993090626154,0.003125,0.00988211768802619,5217.71536806807,53.4537567503576,2.29375689673559e-12,38
"17","L","6","fc.L_rm.6",0.844527694809886,0.967,0.0321922175468627,0.0217587952102273,0.836191624713994,0.0364970745144405,0.8669,0.0672151603269514,0.12092803030303,0.0684851819486608,0.0125,0.0218501843368782,5425.60400391273,261.342392595016,1.65235625399965e-57,13
